1999,Babylon,Rock/Pop,Gray| David; REC: David Gray
1991,Babylon Burning,Reggae,U-Roy| & Robinson| T.; REC: U-Roy
1975,Babylon Falling,Reggae,Sibbles| L.| Llewellyn| B.| Morgan| E.| DeCarlo| G.| Frashuer| D.| & Leka| P.; REC: The Heptones
1960,Back At The Chicken Shack,Blues,Smith| Jimmy; REC: Jimmy Smith; Les McCann; Quincy Jones; Stanley Turrentine; Muddy Waters; Phish; Joey DeFrancesco; Jamey Aebersold; Mel Brown
1961,Back Door Man,Blues,Dixon| Willie; REC: Willie Dixon; Howlin' Wolf; The Doors
1995,Back For Good,Rock/Pop,Barlow| Gary; REC: Take That; Lipstick; Robbie Williams
1917,Back Home Again In Indiana,Jazz,Hanley| J. F.| & MacDonald| B.; REC: Original Dixieland Jazz Band; Louis Armstrong; Kid Ory; Art Tatum; Benny Goodman; Lester Young; Earl Hines; Count Basie; Nat King Cole; Charlie Parker; Lester Young; Bud Powell; Duke Ellington; Dave Brubeck
1980,Back In Black,Rock/Pop,Young| A.| Young| M.| & Johnson| B.; REC: AC/DC
1939,Back In The Saddle Again,Country/Bluegrass,Autry| G.| & Whitley| R. ; REC: Gene Autry; Waylon Jennings; Sonny James; Merle Travis; Riders In The Sky; Moe Bandy
1968,Back In The U. S. S. R.,Rock/Pop,Lennon| J.| & McCartney| P.; REC: The Beatles
1982,Back On The Chain Gang,Rock/Pop,Hynde| Chrissie; REC: The Pretenders
1972,Back Stabbers, The,R & B/Soul,Huff| L.| McFadden| G.| & Whitehead| J.; REC: The O'Jays
1998,Back That Azz Up,Hip-Hop,Juvenile| & Carter| D. P.; REC: Juvenile
1989,Back To Life,Dance/Electronica,Romeo| Beresford; REC: Soul II Soul & Caron Wheeler
1925,Backwater Blues,Blues,Smith| Bessie; REC: Bessie Smith; Albert Ammons; Dinah Washington; Jimmy Witherspoon; Uncle Dave Macon; Leadbelly; Josh White; Skip James; Lonnie Johnson
1987,Bad Boys,Reggae,Lewis| Ian; REC: Inner Circle
1979,Bad Girls,Dance/Electronica,Summer| D.| Esposito| J.| Hokenson| E.| & Sudano| B.; REC: Donna Summer
1926,Bad Luck Blues,Blues,Jefferson| Blind Lemon; REC: Blind Lemon Jefferson; Roy Bookbinder; Ken Hamm: Joy Of Cooking
